sn,streamtype,timestamp,level,invalid_the_geom
1400016,Trash,06/06/2014 02:04:00 PM,RED,"(39.9951, -75.1395)"
172206,Trash,06/16/2014 04:29:00 PM,RED,"(39.946, -75.1578)"
173269,Trash,06/16/2014 12:59:00 PM,RED,"(40.003, -75.1659)"
173209,Trash,06/12/2014 12:35:00 PM,GREEN,"(39.9533, -75.2174)"
173041,Trash,06/12/2014 10:38:00 AM,GREEN,"(40.0585, -75.1894)"
171643,Trash,06/10/2014 07:11:00 AM,RED,"(39.9508, -75.152)"
173277,Trash,06/09/2014 08:45:00 AM,RED,"(39.9244, -75.1699)"
171643,Trash,06/06/2014 12:29:00 AM,RED,"(39.9508, -75.152)"
171828,Trash,06/04/2014 12:22:00 AM,YELLOW,"(39.9537, -75.1649)"
174222,Trash,06/03/2014 03:52:00 PM,YELLOW,"(40.0341, -75.046)"
174526,Trash,06/03/2014 12:32:00 AM,RED,"(39.9281, -75.169)"
172042,Trash,06/01/2014 10:45:00 PM,GREEN,"(0, 0)"
172206,Trash,05/27/2014 11:17:00 AM,RED,"(39.946, -75.1578)"
171918,Trash,05/25/2014 12:51:00 AM,RED,"(39.942, -75.1522)"
173250,Trash,05/16/2014 12:40:00 AM,YELLOW,"(39.9333, -75.159)"
173140,Trash,05/15/2014 12:04:00 PM,GREEN,"(40.06, -75.191)"
171643,Trash,05/11/2014 01:31:00 AM,RED,"(39.9508, -75.152)"
171643,Trash,05/07/2014 12:33:00 AM,RED,"(39.9508, -75.152)"
174865,Trash,05/06/2014 02:30:00 PM,RED,"(39.986, -75.1317)"
174747,Trash,05/06/2014 12:17:00 PM,RED,"(40.0583, -75.149)"
171672,Trash,05/06/2014 09:54:00 AM,GREEN,"(39.93801, -75.16661)"
174562,Trash,05/03/2014 01:40:00 PM,GREEN,"(40.0091, -75.1511)"
174564,Trash,04/30/2014 09:18:00 AM,GREEN,"(39.9269, -75.1692)"
173140,Trash,04/28/2014 12:37:00 PM,GREEN,"(40.06, -75.191)"
174559,Trash,04/28/2014 02:15:00 AM,RED,"(39.977, -75.1581)"
173163,Trash,04/25/2014 03:30:00 PM,GREEN,"(40.036, -75.1748)"
171927,Trash,04/25/2014 01:32:00 AM,YELLOW,"(39.9418, -75.1508)"
173134,Trash,04/24/2014 11:00:00 AM,RED,"(40.0569, -75.188)"
173191,Trash,04/24/2014 09:01:00 AM,GREEN,"(40.0099, -75.1932)"
173255,Trash,04/24/2014 12:12:00 AM,YELLOW,"(39.9244, -75.1695)"
171967,Trash,04/21/2014 01:18:00 AM,YELLOW,"(39.947, -75.1766)"
172139,Trash,04/20/2014 01:36:00 AM,GREEN,"(39.9454, -75.1532)"
173277,Trash,04/18/2014 12:18:00 AM,YELLOW,"(39.9244, -75.1699)"
172009,Trash,04/15/2014 02:26:00 AM,YELLOW,"(39.9496, -75.1676)"
171803,Trash,04/14/2014 01:32:00 PM,GREEN,"(39.956, -75.1691)"
174557,Trash,04/14/2014 11:02:00 AM,YELLOW,"(39.97456989, -75.1589)"
171865,Trash,04/13/2014 05:35:00 PM,YELLOW,"(39.9487, -75.1778)"
171758,Trash,04/11/2014 06:59:00 AM,GREEN,"(39.9520373, -75.159109)"
174858,Trash,04/10/2014 11:04:00 PM,GREEN,"(39.9891, -75.1273)"
173134,Trash,04/10/2014 11:33:00 AM,RED,"(40.0569, -75.188)"
172008,Trash,04/08/2014 02:44:00 AM,RED,"(39.9566, -75.1661)"
171957,Trash,03/25/2014 02:04:00 AM,RED,"(39.9541286, -75.16995277)"
172058,Trash,03/24/2014 08:25:00 AM,GREEN,"(39.9477, -75.1609)"
172189,Trash,03/23/2014 12:54:00 AM,YELLOW,"(39.9466, -75.1628)"
